DAYS,TIMES,LAT,LNG,TIME_DIFF,SPEED,CELLLAT,CELLLNG
20211026,62344,30.350685,120.059441,5,6.523129937,30.349891,120.062957
20211026,62349,30.350518,120.059771,5,7.34173858,30.349891,120.062957
20211026,62354,30.350369,120.060066,5,6.559833992,30.348127,120.057075
20211026,62359,30.350225,120.06033,5,5.993722579,30.348127,120.057075
20211026,62404,30.350018,120.060581,5,6.663001397,30.349891,120.062957
20211026,62409,30.349791,120.060888,5,7.758675953,30.350366,120.058494
20211026,62414,30.34955,120.061151,5,7.36211303,30.349891,120.062957
20211026,62419,30.349283,120.061415,5,7.80558025,30.348283,120.060089
20211026,62424,30.349038,120.061676,5,7.401110792,30.343511,120.057937
20211026,62429,30.348781,120.061933,5,7.549360872,30.343511,120.057937
20211026,62434,30.348583,120.062161,5,6.2076981,30.343511,120.057937
20211026,62439,30.348451,120.062306,5,4.044914736,30.343511,120.057937
20211026,62454,30.348178,120.062618,5,4.259710458,30.343511,120.057937
20211026,62504,30.347786,120.06316,5,7.373000388,30.344402,120.06697
20211026,62509,30.347555,120.063431,5,7.310318429,30.344402,120.06697
20211026,62514,30.34734,120.063686,5,6.841908956,30.344402,120.06697
20211026,62519,30.347116,120.063926,5,6.784630899,30.346853,120.06324
20211026,62524,30.346865,120.064223,5,7.977982458,30.346853,120.06324
20211026,62529,30.346651,120.064511,5,7.29385331,30.344949,120.065139
20211026,62534,30.346505,120.064753,5,5.666837735,30.348594,120.063415
20211026,62539,30.346406,120.065004,5,5.296474143,30.344949,120.065139
20211026,62544,30.346366,120.065261,5,5.011903586,30.344764,120.060859
20211026,62549,30.346321,120.06553,5,5.258733311,30.344402,120.06697
20211026,62554,30.346299,120.065828,5,5.740096647,30.344402,120.06697
20211026,62559,30.346235,120.066135,5,6.061427429,30.344402,120.06697
20211026,62604,30.346173,120.066431,5,5.845767502,30.345836,120.068504
20211026,62609,30.346121,120.066701,5,5.309322999,30.344949,120.065139
20211026,62619,30.346016,120.067348,5,6.616578982,30.345836,120.068504
20211026,62624,30.345985,120.067631,5,5.474931207,30.345836,120.068504
20211026,62629,30.345958,120.067916,5,5.502583048,30.345836,120.068504
20211026,62634,30.345853,120.068131,5,4.741182393,30.345836,120.068504
20211026,62639,30.345786,120.068471,5,6.693259152,30.345836,120.068504
20211026,62644,30.345711,120.068778,5,6.123499826,30.345836,120.068504
20211026,62649,30.345599,120.06901,5,5.101907731,30.345836,120.068504
20211026,62654,30.345485,120.069258,5,5.392762856,30.345836,120.068504
20211026,62659,30.345513,120.069501,5,4.705079073,30.345836,120.068504
20211026,62704,30.345683,120.06968,5,5.108333888,30.345836,120.068504
20211026,62710,30.345966,120.069926,6,6.556384532,30.345836,120.068504
